Le RGPD c'est quoi?,about_RGPD
Je cherche des renseignements sur le RGPD,about_RGPD
entrée en vigueur RGPD,about_RGPD
A quelle date est entré en vigueur le RGPD?,about_RGPD
Rendez-vous avec un conseil,Avocat
j'aimerais passer vous voir,Avocat
Mais est-il possible de parler à un vrai avocat?,Avocat
Date,Avocat
j'ai besoin d'un rendez-vous,Avocat
Rendez-vous avec votre cabinet,Avocat
Rendez vous avec un avocat,Avocat
je souhaite obtenir un rendez vous à votre cabinet,Avocat
Bonjour Watson!,Bonjour
BOnjour,Bonjour
Bonjour!,Bonjour
Hello,Bonjour
Bonsoir,Bonjour
Salut,Bonjour
Coucou,Bonjour
est ce que tu peux me donner la définition d'une donnée?,définition_données
A quoi correspondent les données à caractère personnel?,définition_données
quelle est la définition d'une donnée à caractère personnel?,définition_données
qu'est ce qu'une donnée à caractère personnel?,définition_données
quand est-que une donnée est une donnée à caractère personnel?,définition_données
,General_Security_Assurance
Quelle est l'amende maximale prévue en cas de violation du RGPD?,montant_amende
quelle sanction est ce que je risque?,montant_amende
A combien s'élève le montant maximal l'amende en cas de violation du RGPD?,montant_amende
Quelles sont les amendes moyennes dues en cas de violation du RGPD?,montant_amende
Quel est le montant de l'amende en cas de violation du RGPD?,montant_amende
A combien s'élèvent les amendes en cas d'infraction au RGPD?,montant_amende
Quel est le coût de l'amende en cas d'infraction au RGPD?,montant_amende
indiquer,Notification
mentionner,Notification
Communication,Notification
est ce que je dois notifier une violation?,Notification
A qui dois-je signaler une violation de données?,Notification
Est ce qu'il faut communiquer une violation de données à caractère personnel?,Notification
dire,Notification
Principes du RGPD,Principes_RGPD
quels sont les principes du RGPD?,Principes_RGPD
rgpd principes,Principes_RGPD
7 principes du RGPD,Principes_RGPD
J'ai une autre question sur le RGPD,Question_RGPD
J'aimerai savoir autre chose sur ce texte,Question_RGPD
Je m'interroge sur un autre aspect du RGPD,Question_RGPD
je veux savoir autre chose sur le RGPD,Question_RGPD
Quelles sont les sanctions prévues par le RGPD?,sanctions_RGPD
Quelles données peut-on traiter et sous quelles conditions?,traitement_données
A partir de quand une donnée est-elle traitée?,traitement_données
Qu'appelle-t-on exactement traitement des données?,traitement_données
"Collecter des données, est-ce la même chose que les traiter?",traitement_données
